Rebel	10	Rebel ; Rebel 100 ; Rebel KSBW ; Rebel Full Proof ; Rebel Single Barrel ; Rebel 100 Proof Wheated
Spey	10	Spey ; Spey ; Spey ; Spey ; Spey Tenne ; Spey Fumare
Tenjaku	10	Tenjaku ; Tenjaku ; Tenjaku ; Tenjaku ; Tenjaku ; Tenjaku
Whyte Mackay	10	Whyte & Mackay ; Whyte & Mackay ; Whyte & Mackay ; Whyte & Mackay ; Whyte & Mackay ; Whyte & Mackay 1980's
Wilson & Morgan	10	Wilson & Morgan Westport ; Caol Ila 1995 Barrel Selection ; Wilson & Morgan Benrinnes PX Finish ; Wilson & Morgan Bowmore Sherry Wood ; Wilson & Morgan Glen Moray Port Cask ; Wilson & Morgan Speybridge PX Finish
Agitator	9	Agitator ; Agitator ; Agitator Rok ; Agitator Chestnut Cask ; Agitator The Swedish Blend ; Agitator Argument Sherry Butt
Artist Collective	9	Ardmore ; Caol Ila ; Ben Nevis ; Glen Elgin ; Artist Collective Glen Ord ; Artist Collective Linkwood
Ezra Brooks	9	Ezra Brooks ; Ezra Brooks ; Ezra Brooks 99 Proof ; Ezra Brooks 99 Proof ; Ezra Brooks Black Label ; Ezra Brooks Black Label
Glendale	9	Glendale ; Glendale ; Glendale ; Glendale ; Glendale ; Glendale
John Barr	9	John Barr ; John Barr ; John Barr ; John Barr ; John Barr Reserve ; John Barr Reserve
Ledaig	9	Ledaig ; Ledaig ; Ledaig ; Ledaig ; Ledaig Triple Wood ; Ledaig Fill Oloroso
Michter's	9	Michter's ; Michter's ; Michter's Sour Mash ; Michter's Unblended ; Michter's US 1 Small Batch ; Michter's Barrel Strength Rye
Smokehead	9	Smokehead ; Smokehead ; Smokehead Rum Riot ; Smokehead Rum Rebel ; Smokehead High Voltage ; Smokehead Twisted Stout
Templeton Rye	9	Templeton Rye ; Templeton Rye ; Templeton Fortitude ; Templeton Rye Stout Cask ; Templeton Rye Sherry Cask ; Templeton Rye Barrel Strength
The Quiet Man	9	The Quiet Man ; The Quiet Man ; The Quiet Man ; The Quiet Man ; The Quiet Man ; The Quiet Man
Auchentoshan	8	Auchentoshan ; Auchentoshan Dark Oak ; Auchentoshan Blood Oak ; Auchentoshan Three Wood ; Auchentoshan Three Wood ; Auchentoshan American Oak
Black Velvet	8	Black Velvet ; Black Velvet ; Black Velvet ; Black Velvet ; Black Velvet Reserve ; Black Velvet Reserve
Blanton's	8	Blanton's Gold ; Blanton's Original ; Blanton's Gold Edition ; Blanton's Silver Edition ; Blanton's Original Single Barrel ; Blanton's Gold Edition 2023 Release
Chivas Brothers	8	Chivas Regal ; Chivas Regal ; Chivas Regal ; Chivas Regal ; Royal Salute ; Chivas Regal The Icon
Coalition	8	Coalition Barrel Proof ; Coalition Barrel Proof ; Coalition Margaux Barriques ; Coalition Margaux Barriques ; Coalition Pauillac Barriques ; Coalition Pauillac Barriques
Compass Box	8	Compass Box Hedonism ; Compass Box Nectarosity ; Compass Box Artist Blend ; Compass Box Crimson Cask ; Compass Box Glasgow Blend ; Compass Box Orchard House
Glendalough	8	Glendalough ; Glendalough Double Barrel ; Glendalough Pot Still Peated ; Glendalough Mizunara Cask Finish ; Glendalough Single Cask Madeira Finish ; Glendalough Single Cask Burgundy Finish
Glenrothes	8	Glenrothes ; Glenrothes ; Glenrothes ; Glenrothes Jurancon ; Glenrothes 1972 Vintage ; Glenrothes 1978 Vintage
Koval	8	Koval ; Koval Millet ; Koval Rye Maple ; Koval Single Barrel ; Koval Rye Single Barrel ; Koval Rye Bottled in Bond
Monkey Shoulder	8	Monkey Shoulder ; Monkey Shoulder ; Monkey Shoulder ; Monkey Shoulder ; Monkey Shoulder Smokey ; Monkey Shoulder The original
Murray Mcdavid	8	Murray McDavid Mortlach ; Macallan 1968 Mission (Murray McDavid) ; Bunnahabhain 1976 Mission (Murray McDavid) ; Caol Ila 1980 Jim McEwan's Celtic Heartlands ; Murray McDavid Alainn (Bowmore Laphroaig) 1989 Sherry ; Murray McDavid Air Leth (Bowmore Caol ila Laphroaig North British) 1988
Oban	8	Oban ; Oban ; Oban ; Oban ; Oban Little Bay ; Oban Distillers Edition
Redbreast	8	Redbreast ; Redbreast ; Redbreast ; Redbreast Aged ; Redbreast Lustau ; Redbreast Cask Strength
Singleton	8	Singleton of Glen Ord ; Singleton of Glen Ord ; The Singleton of Dufftown ; The Singleton of Dufftown ; The Singleton of Dufftown ; The Singleton of Dufftown
Suntory	8	Suntory AO ; Suntory Toki ; Suntory Toki ; Hibiki Harmony ; Suntory Hakushu ; The Chita Suntory
Teacher's	8	Teacher's ; Teacher's ; Teacher's ; Teacher's Highland Cream ; Teacher's Highland Cream ; Teacher's Highland Cream
The Irishman	8	The Irishman ; The Irishman ; The Irishman ; The Irishman Harvest ; The Irishman Harvest ; The Irishman Harvest
The Pogues	8	The Pogues ; The Pogues ; The Pogues ; The Pogues West Cork ; The Pogues West Cork ; The Pogues West Cork
William Peel	8	William Peel ; William Peel ; William Peel ; William Peel ; William Peel ; William Peel Glen Rogers
Writers Tear's	8	Writers Tears ; Writers Tear's Double Oak ; Writers Tears Cask Strenght ; Writers Tears Mizunara Finish ; Writers Tear's Irish Miniatures ; Writers Tears Marsala Cask Finish
Balblair	7	Balblair ; Balblair ; Balblair ; Balblair ; Balblair ; Balblair 1989 Vintage
Barrell	7	Barrell Vantage ; Barrell Dovetail ; Barrell Seagrass ; Barrell Batch 036 ; Barrell Foundation ; Barrell Rye Batch 004
Bell's	7	Bell's Spiced ; Bell's Original ; Bell's Original ; Bell's Original ; Bell's Original ; Bell's Original
Cailleach	7	Cailleach ; Cailleach ; Cailleach ; Cailleach ; Cailleach ; Cailleach
Connemara	7	Connemara ; Connemara ; Connemara Peated ; Connemara Original ; Connemara Original (Peated) ; Connemara Distillers Edition
Deveron	7	The Deveron ; The Deveron ; Glen Deveron ; Glen Deveron ; Glen Deveron ; Glen Deveron 1987
Dewar Rattray	7	Dewar Rattray Cask Islay ; Dewar Rattray Stronachie ; Dewar Rattray Stronachie ; Dewar Rattray Cask Speyside ; Dewar Rattray Glenrothes 1986 ; Dewar Rattray Auchentoshan 1998
Evan Williams	7	Evan Williams 1783 ; Evan Williams Black ; Evan Williams Bottled in Bond ; Heaven Hill Distilleries Evan Williams Fire ; Heaven Hill Distilleries Evan Williams Honey ; Heaven Hill Distilleries Evan Williams Cherry
Heaven Hill	7	Old Style White ; Heaven Hill Old Style ; Heaven Hill Rittenhouse ; Heaven Hill Old Style White ; Heaven Hill Brands Rittenhouse ; Heaven Hill Distilleries Old Style White
Hinch	7	Hinch ; Hinch Peated ; Hinch Double Wood ; Hinch Small Batch ; Hinch Sherry Finish ; Hinch Distillers Cut
Hunting Lodge	7	Hunting Lodge ; Hunting Lodge ; Hunting Lodge ; Hunting Lodge ; Hunting Lodge ; Hunting Lodge
Isle of Skye	7	Isle of Skye ; Isle of Skye ; Isle of Skye ; Isle Of Skye ; Ian Macleod Distillers Isle of Skye ; Talisker From the Oldest Distillery on the Isle of Skye
Maker's Mark	7	Maker's Mark ; Maker's Mark ; Maker's Mark ; Maker's Mark ; Maker's Mark 46 ; Maker's Mark 46
Sierra Norte	7	Sierra Norte Black Corn ; Sierra Norte White Corn ; Sierra Norte Purple Corn ; Sierra Norte Yellow Corn ; Sierra Norte Black Corn Single Barrel Mexican ; Sierra Norte White Corn Single Barrel Mexican
Speyburn	7	Speyburn ; Speyburn ; Speyburn Bourbon Cask ; Speyburn Bradan Orach ; Speyburn Bradan Orach ; Speyburn Rum Cask Finish
Starward	7	Starward Nova ; Starward Fortis ; Starward Solera ; Starward Left-Field ; Starward Tawny Cask ; Starward Peated Finish
Togouchi	7	Togouchi ; Togouchi ; Togouchi ; Togouchi Kiwami ; Togouchi Peated ; Togouchi Premium
White Horse	7	White Horse ; White Horse ; White Horse ; White Horse ; White Horse ; White Horse
Widow Jane	7	Widow Jane ; Widow Jane ; Widow Jane Decadence ; Widow Jane Paradigm Rye ; Widow Jane Apple Wood Rye ; Widow Jane Rye Mash American Oak Aged
Amahagan	6	Amahagan Edition №1 ; Amahagan Yamazakura Wood Finish ; Amahagan Edition №5 Sherry Cask Finish ; Amahagan Edition №2 Red Wine Wood Finish ; Amahagan Edition №3 Mizunara Wood Finish ; Amahagan Edition No.2 Red Wine Wood Finish
AnCnoc	6	anCnoc ; anCnoc ; anCnoc ; AnCnoc Knockdhu ; AnCnoc 1975 Knockdhu ; AnCnoc Sherry Peated
Armorik	6	Armorik ; Armorik ; Armorik Classic ; Armorik Yeun Elez ; Armorik Sherry Cask ; Armorik Double Maturation
Boulder	6	Boulder ; Boulder New ; Boulder Peated Malt ; Boulder Bottled in Bond ; Boulder Spirits-Bottled in Bond ; Boulder American Port Cask Finish
Canadian Club	6	Canadian Club ; Canadian Club ; Canadian Club ; Canadian Club ; Canadian Club ; Canadian Club
Cragganmore	6	Cragganmore ; Cragganmore ; Cragganmore Vintage 1991 ; Cragganmore Vintage 1997 ; Cragganmore Distillers Edition ; Cragganmore Distillers Edition 2023
Dailuaine	6	Dailuaine ; Dailuaine Black Doctor ; Dailuaine Vintage 1997 ; Dailuaine Flora and Fauna ; Dailuaine 1st fll Oloroso Sherry (Bodega) ; Dailuaine 1st fill Bourbon Hogshead The Yellow Edition
Dalwhinnie	6	Dalwhinnie ; Dalwhinnie The Gentle Spirit ; Dalwhinnie Distillers Edition ; Dalwhinnie Distillers Edition 2023 ; Dalwhinnie 1991 The Distillers Edition D.SQ.312 Double Matured Special Release ; Dalwhinnie 1997 The Distillers Edition D.SU.312 Double Matured Special Release
Darkness!	6	Darkness! Darkness ; Darkness! Darkness! Strathisla ; Darkness! Darkness! Campbeltown ; Darkness! Darkness Bowmore Moscatel Cask Finish ; Darkness! Darkness Linkwood Oloroso Cask Finish ; Darkness! Darkness Strathisla Moscatel Cask Finish
Fauconnier	6	O'Brian Fauconnier ; O'Brian Fauconnier ; Fauconnier Hunting Lodge ; Fauconnier Hunting Lodge ; Fauconnier Hunting Lodge ; Fauconnier Highland's Friends
Fercullen	6	Fercullen ; Fercullen ; Fercullen Falls ; Fercullen The Gate Amarone Cask ; Fercullen Falls Irish Small Batch ; Fercullen Estate 3 The Gate Amarone Cask Influence
Fettercairn	6	Fettercairn ; Fettercairn ; Fettercairn ; Fettercairn Koval Cask ; Fettercairn Vintage 1995 ; Fettercairn Koval/Brandy vs Porto Cask
Glenglassaugh	6	Glenglassaugh ; Glenglassaugh ; Glenglassaugh Portsoy ; Glenglassaugh Sandend ; Glenglassaugh Rare Cask 1967 #1114-1 1967 ; Glenglassaugh Rare Cask #2230 PX Sherry 1968
Grace O Malley	6	Grace O'Malley ; Grace O'Malley Rum Cask ; Grace O'Malley Stout Cask ; Grace O'Malley Maritime Cask ; Grace O'Malley Dark Char Cask ; Grace O'Malley Independence Edition
Highland Chief	6	Highland Chief ; Highland Chief ; Highland Chief ; Highland Chief ; Highland Chief ; Highland Chief
Highland Mist	6	Highland Mist ; Highland Mist ; Highland Mist ; Highland Mist ; Highland Mist ; Highland Mist Loch Lomond
High West	6	High West ; High West Campfire ; High West Double Rye ; High West Double Rye ; High West Rendezvous Rye ; High West American Prairie
Kingsbarns	6	Kingsbarns ; Kingsbarns ; Kingsbarns Doocot ; Kingsbarns Balcomie ; Kingsbarns Coaltown ; Kingsbarns Falkland
Lakes	6	Lakes Equinox ; Lakes Galaxia ; Lakes Resfeber ; Lakes Nostalgia ; Lakes Signature ; Lakes Whiskymakers Reserve No.7
Mac Talla	6	Mac-Talla Flora Peated ; Mac-Talla Strata Morrison ; Mac-Talla Terra Classic Islay ; Mac-Talla Terra Classic Morrison ; Mac-Talla Mara Cask Strength Morrison ; Mac-Talla Flora Lightly Peated Morrison
Maison Des Futailles Spicebox	6	Maison Des Futailles Spicebox ; Maison des Futailles Spicebox Pumpkin ; Maison des Futailles Spicebox Chocolat ; Maison des Futailles Spicebox Cinnamon ; Maison des Futailles Spicebox Ginger Bread ; Maison des Futailles Spicebox Canadian Spiced
Midleton	6	Midleton Very Rare ; Midleton Barry Crockett ; Midleton Barry Crockett Legacy ; Midleton Very Rare 40th Anniversary ; Midleton Very Rare 2022 Vintage Release ; Midleton Very Rare Barry Crockett Legacy
Mortlach	6	Mortlach ; Mortlach ; Mortlach ; Mortlach Rare Old ; Mortlach Vintage 1991 ; Mortlach Vintage 1996
Old Perth	6	Old Perth ; Old Perth ; Old Perth ; Old Perth Original ; Old Perth Cask Strength ; Old Perth Double Sherry Wood
Penelope	6	Penelope Rose ; Penelope Toasted ; Penelope Architect ; Penelope Four Grain ; Penelope Barrel Strength ; Penelope Bourbon Barrel Strength
Pokeno	6	Pokeno Origin ; Pokeno Winter ; Pokeno Discovery ; Pokeno Revelation ; Pokeno Totara Cask ; Pokeno Moscatel Cask
